# ID RA Dec
000243 150.2260583 0.6828139
000248 34.9439792 -3.2029083
000254 128.6551583 44.2727583
000255 129.1673500 44.1991222
000259 130.4173958 43.2737611
000260 131.8135750 43.2207056
000261 35.8881083 -4.8463444
000267 131.0422542 43.9384083
000268 132.0169083 43.9201222
000271 34.9360750 -4.6974139
000275 35.7895417 -4.8877083
000288 184.1734375 48.4151111
000299 35.6028417 -4.5687694
000311 129.2570125 44.2619056
000324 162.7844500 57.9226028
000339 162.0398583 58.9397250
000342 161.1536208 58.8834722
000345 160.4988125 58.9831833
000349 131.0150667 44.7275889
000353 185.2387875 47.5115139
000363 129.4745458 44.4667444
000380 163.5143375 58.0985000
000388 184.4036125 47.7604833
000392 163.6798042 57.5016000
000415 149.1143500 1.8999778
000417 149.5668083 1.8124472
000418 149.6070875 1.6941694
000420 149.8200000 1.6134861
000421 148.9754250 1.4662806
000428 131.3143458 43.2990472
000433 149.1267917 1.1826528
000438 151.2991833 2.3141417
000439 148.9712042 2.5744500
000443 131.8531167 43.8566250
000445 149.4600667 1.0104417
000448 148.6776500 2.1471194
000451 150.8488875 1.5474056
000452 150.9145250 1.6510444
000474 163.2885375 57.7869778
000478 160.9591417 57.9205333
000511 150.4274708 1.2508139
000518 149.2922625 1.4971583
000523 186.2224667 47.8125028
000525 150.0265667 2.9425111
000536 128.9033625 44.4432194
000538 129.3996708 44.5567056
000544 150.2418875 2.2475389
000551 150.0231292 2.4973694
000552 150.1107542 2.4832417
000553 150.4341667 2.4853944
000554 129.5192875 43.7026361
010001 162.3535208 57.1085639
010003 159.9599333 57.0901028
010005 161.9588083 57.1784944
010006 149.0349833 1.2844806
010009 149.7182125 0.8705222
010010 150.8586542 1.0294194
010012 160.9778625 57.0467778
010013 161.9604042 57.0188583
010014 150.4758083 1.1519722
010019 160.9665125 59.1644306
010020 161.8543625 59.0885528
010024 162.7766250 57.5769694
010026 160.6745375 58.8438278
010028 149.1547458 3.0357694
010029 160.2407167 58.9272583
010041 132.0720833 43.8346806
010043 129.0525250 44.0070889
010046 162.9187500 58.1821750
010048 149.1720667 2.2698306
010052 160.0896125 57.9299500
010053 161.3624958 57.9525750
010055 151.2624458 1.9649278
010056 184.1436000 46.7825194
010058 131.6132125 44.3516667
010059 149.8789625 2.4386944
010061 131.0076125 45.6340472
010063 186.4676625 47.8554444
010074 160.8723667 56.8654861
010075 160.3772250 57.5412444
010080 184.0244167 47.3678083
010083 183.4052417 46.9746972
010084 183.5063708 46.9500250
010089 150.1261292 0.9291528
010090 131.3405250 44.5178889
010093 163.7271750 58.2575222
010096 130.2027625 43.1232611
010098 131.1518417 43.1072333
010102 185.2700542 46.0287000
010120 150.1045083 2.6912306
010131 130.7128375 45.0533611
010135 150.1425875 3.4967833
010147 150.8399000 3.4181778
010163 150.5405917 1.2335917
010167 130.0101375 43.5138250
010174 150.4997500 2.1469167
010175 184.9218208 45.6644000
010178 163.1627083 56.9770722
010181 130.2827875 43.1083417
010184 129.3759792 43.9600222
010186 184.6520833 46.5335861
010188 184.3825375 47.5507028
010190 164.2668042 58.1898889
010191 164.3623333 58.0650000
010192 184.9626875 47.7476806
010194 185.7962417 46.3424833
